cve_id,vendor_project,product,vulnerability_name,date_added,short_description,required_action,due_date,pub_date,cvss,cwe,vector,complexity,severity,cloud_component,vulnerability_category
CVE-2020-11261,qualcomm,"Snapdragon Auto, Snapdragon Compute, Snapdragon Connectivity, Snapdragon Consumer IOT, Snapdragon Industrial IOT, Snapdragon Mobile, Snapdragon Voice & Music, Snapdragon Wearables",Qualcomm Multiple Chipsets Improper Input Validation Vulnerability,01-12-2021,"Memory corruption due to improper check to return error when user application requests memory allocation of a huge size in Snapdragon Auto, Snapdragon Compute, Snapdragon Connectivity, Snapdragon Consumer IOT, Snapdragon Industrial IOT, Snapdragon Mobile, Snapdragon Voice & Music, Snapdragon Wearables",Apply updates per vendor instructions.,01-06-2022,09-06-2021,7.8,CWE-20,LOCAL,LOW,HIGH,Management and Governance,Application
CVE-2018-14847,mikrotik,RouterOS,MikroTik Router OS Directory Traversal Vulnerability,01-12-2021,MikroTik RouterOS through 6.42 allows unauthenticated remote attackers to read arbitrary files and remote authenticated attackers to write arbitrary files due to a directory traversal vulnerability in the WinBox interface.,Apply updates per vendor instructions.,01-06-2022,02-08-2018,9.1,CWE-22,NETWORK,LOW,CRITICAL,Management and Governance,Other
CVE-2021-37415,zoho,ManageEngine ServiceDesk Plus (SDP),Zoho ManageEngine ServiceDesk Authentication Bypass Vulnerability,01-12-2021,Zoho ManageEngine ServiceDesk Plus before 11302 is vulnerable to authentication bypass that allows a few REST-API URLs without authentication,Apply updates per vendor instructions.,15-12-2021,01-09-2021,9.8,CWE-287,NETWORK,LOW,CRITICAL,Management and Governance,IAM
CVE-2021-40438,apache,Apache,Apache HTTP Server-Side Request Forgery (SSRF),01-12-2021,A crafted request uri-path can cause mod_proxy to forward the request to an origin server choosen by the remote user. This issue affects Apache HTTP Server 2.4.48 and earlier.,Apply updates per vendor instructions.,15-12-2021,16-09-2021,9.0,CWE-918,NETWORK,HIGH,CRITICAL,IaaS,Network
CVE-2021-44077,zoho,ManageEngine ServiceDesk Plus (SDP) / SupportCenter Plus,Zoho ManageEngine ServiceDesk Plus Remote Code Execution Vulnerability,01-12-2021,"Zoho ManageEngine ServiceDesk Plus before 11306, ServiceDesk Plus MSP before 10530, and SupportCenter Plus before 11014 are vulnerable to unauthenticated remote code execution",Apply updates per vendor instructions.,15-12-2021,29-11-2021,9.8,CWE-287,NETWORK,LOW,CRITICAL,Management and Governance,Network
CVE-2021-44515,zoho,Desktop Central,Zoho Desktop Central Authentication Bypass Vulnerability,10-12-2021,Zoho Desktop Central contains an authentication bypass vulnerability that could allow an attacker to execute arbitrary code in the Desktop Central MSP server.,Apply updates per vendor instructions.,24-12-2021,12-12-2021,9.8,CWE-287,NETWORK,LOW,CRITICAL,Management and Governance,IAM
CVE-2019-13272,linux,Kernel,Linux Kernel Improper Privilege Management Vulnerability,10-12-2021,Kernel/ptrace.c in Linux kernel mishandles contains an improper privilege management vulnerability which allows local users to obtain root access.,Apply updates per vendor instructions.,10-06-2022,17-07-2019,7.8,CWE-269,LOCAL,LOW,HIGH,Management and Governance,Access Control
CVE-2021-35394,realtek,Jungle Software Development Kit (SDK),Realtek Jungle SDK Remote Code Execution Vulnerability,10-12-2021,RealTek Jungle SDK contains multiple memory corruption vulnerabilities which can allow an attacker to perform remote code execution.,Apply updates per vendor instructions.,24-12-2021,16-08-2021,9.8,NVD-CWE-noinfo,NETWORK,LOW,CRITICAL,Management and Governance,Network
CVE-2019-7238,sonatype,Nexus Repository Manager,Sonatype Nexus Repository Manager Incorrect Access Control Vulnerability,10-12-2021,Sonatype Nexus Repository Manager before 3.15.0 has an incorrect access control vulnerability. Exploitation allows for remote code execution.,Apply updates per vendor instructions.,10-06-2022,21-03-2019,9.8,NVD-CWE-noinfo,NETWORK,LOW,CRITICAL,Management and Governance,Application
CVE-2019-0193,apache,Solr,Apache Solr DataImportHandler Code Injection Vulnerability,10-12-2021,The optional Apache Solr module DataImportHandler contains a code injection vulnerability.,Apply updates per vendor instructions.,10-06-2022,01-08-2019,7.2,CWE-94,NETWORK,LOW,HIGH,IaaS,Network
CVE-2021-44168,fortinet,FortiOS,Fortinet FortiOS Arbitrary File Download,10-12-2021,"Fortinet FortiOS ""execute restore src-vis"" downloads code without integrity checking, allowing an attacker to arbitrarily download files.",Apply updates per vendor instructions.,24-12-2021,04-01-2022,7.8,CWE-494,LOCAL,LOW,HIGH,Management and Governance,Other
CVE-2017-17562,embedthis,GoAhead,Embedthis GoAhead Remote Code Execution Vulnerability,10-12-2021,Embedthis GoAhead before 3.6.5 allows remote code execution if CGI is enabled and a CGI program is dynamically linked.,Apply updates per vendor instructions.,10-06-2022,12-12-2017,8.1,CWE-20,NETWORK,HIGH,HIGH,Management and Governance,Network
CVE-2017-12149,red hat,JBoss Application Server,Red Hat JBoss Application Server Remote Code Execution Vulnerability,10-12-2021,"The JBoss Application Server, shipped with Red Hat Enterprise Application Platform 5.2, allows an attacker to execute arbitrary code via crafted serialized data.",Apply updates per vendor instructions.,10-06-2022,04-10-2017,9.8,CWE-502,NETWORK,LOW,CRITICAL,Management and Governance,Network
CVE-2020-17463,fuel cms,,Fuel CMS SQL Injection Vulnerability,10-12-2021,"FUEL CMS 1.4.7 allows SQL Injection via the col parameter to /pages/items, /permissions/items, or /navigation/items.",Apply updates per vendor instructions.,10-06-2022,13-08-2020,9.8,CWE-89,NETWORK,LOW,CRITICAL,IaaS,Data
CVE-2020-8816,pi-hole,AdminLTE,Pi-Hole AdminLTE Remote Code Execution Vulnerability,10-12-2021,Pi-hole Web v4.3.2 (aka AdminLTE) allows Remote Code Execution by privileged dashboard users via a crafted DHCP static lease.,Apply updates per vendor instructions.,10-06-2022,29-05-2020,7.2,NVD-CWE-noinfo,NETWORK,LOW,HIGH,Management and Governance,Network
CVE-2019-10758,mongodb,mongo-express,MongoDB mongo-express Remote Code Execution Vulnerability,10-12-2021,mongo-express before 0.54.0 is vulnerable to Remote Code Execution via endpoints that uses the `toBSON` method.,Apply updates per vendor instructions.,10-06-2022,24-12-2019,9.9,NVD-CWE-noinfo,NETWORK,LOW,CRITICAL,Management and Governance,Network
CVE-2021-44228,apache,Log4j2,Apache Log4j2 Remote Code Execution Vulnerability,10-12-2021,"Apache Log4j2 contains a vulnerability where JNDI features do not protect against attacker-controlled JNDI-related endpoints, allowing for remote code execution.","For all affected software assets for which updates exist, the only acceptable remediation actions are: 1) Apply updates; OR 2) remove affected assets from agency networks. Temporary mitigations using one of the measures provided at https://www.cisa.gov/uscert/ed-22-02-apache-log4j-recommended-mitigation-measures are only acceptable until updates are available.",24-12-2021,10-12-2021,10.0,CWE-502,NETWORK,LOW,CRITICAL,Management and Governance,Network
CVE-2021-43890,microsoft,Windows,Microsoft Windows AppX Installer Spoofing Vulnerability,15-12-2021,"Microsoft Windows AppX Installer contains a spoofing vulnerability which has a high impacts to confidentiality, integrity, and availability.",Apply updates per vendor instructions.,29-12-2021,15-12-2021,7.1,CWE-290,NETWORK,HIGH,HIGH,Management and Governance,Network
CVE-2021-4102,google,Chromium V8 Engine,Google Chromium V8 Use-After-Free Vulnerability,15-12-2021,Google Chromium V8 Engine contains a use-after-free vulnerability which can allow a remote attacker to execute arbitrary code on the target system.,Apply updates per vendor instructions.,29-12-2021,11-02-2022,8.8,CWE-416,NETWORK,LOW,HIGH,Management and Governance,Application
CVE-2021-22017,vmware,vCenter Server,VMware vCenter Server Improper Access Control,10-01-2022,Rhttproxy as used in vCenter Server contains a vulnerability due to improper implementation of URI normalization.,Apply updates per vendor instructions.,24-01-2022,23-09-2021,5.3,NVD-CWE-noinfo,NETWORK,LOW,MEDIUM,Management and Governance,Application
CVE-2021-36260,hikvision,Security cameras web server,Hikvision Improper Input Validation,10-01-2022,A command injection vulnerability in the web server of some Hikvision product. Due to the insufficient input validation.,Apply updates per vendor instructions.,24-01-2022,22-09-2021,9.8,CWE-77,NETWORK,LOW,CRITICAL,Management and Governance,Application
CVE-2020-6572,google,Chrome,Google Chrome Prior to 81.0.4044.92 Use-After-Free Vulnerability,10-01-2022,Use-after-free vulnerability in Media in Google Chrome prior to 81.0.4044.92 allowed a Remote attacker to execute arbitrary code via a crafted HTML page.,Apply updates per vendor instructions.,10-07-2022,14-01-2021,8.8,CWE-416,NETWORK,LOW,HIGH,Management and Governance,Application
CVE-2019-1458,microsoft,Win32k,Microsoft Win32k Privilege Escalation Vulnerability,10-01-2022,"A privilege escalation vulnerability exists in Windows when the Win32k component fails to properly handle objects in memory, aka 'Win32k EoP.",Apply updates per vendor instructions.,10-07-2022,10-12-2019,7.8,NVD-CWE-noinfo,LOCAL,LOW,HIGH,Management and Governance,Access Control
CVE-2019-2725,oracle,WebLogic Server,"Oracle WebLogic Server, Injection",10-01-2022,Injection vulnerability in the Oracle WebLogic Server component of Oracle Fusion Middleware (subcomponent: Web Services).,Apply updates per vendor instructions.,10-07-2022,26-04-2019,9.8,CWE-74,NETWORK,LOW,CRITICAL,IaaS,Application
CVE-2019-9670,synacor,Zimbra Collaboration Suite,Synacor Zimbra Collaboration Suite Improper Restriction of XML External Entity Reference,10-01-2022,Improper Restriction of XML External Entity Reference vulnerability affecting Synacor Zimbra Collaboration Suite.,Apply updates per vendor instructions.,10-07-2022,29-05-2019,9.8,CWE-611,NETWORK,LOW,CRITICAL,Management and Governance,Other
CVE-2018-13382,fortinet,FortiOS and FortiProxy,Fortinet FortiOS and FortiProxy Improper Authorization,10-01-2022,An Improper Authorization vulnerability in Fortinet FortiOS and FortiProxy under SSL VPN web portal allows an unauthenticated attacker to modify the password.,Apply updates per vendor instructions.,10-07-2022,04-06-2019,7.5,CWE-285,NETWORK,LOW,HIGH,Management and Governance,Network
CVE-2018-13383,fortinet,FortiOS and FortiProxy,Fortinet FortiOS and FortiProxy Out-of-bounds Write,10-01-2022,A heap buffer overflow in Fortinet FortiOS and FortiProxy may cause the SSL VPN web service termination for logged in users.,Apply updates per vendor instructions.,10-07-2022,29-05-2019,6.5,CWE-787,NETWORK,LOW,MEDIUM,Management and Governance,Cryptography
CVE-2019-1579,palo alto networks,PAN-OS,Palo Alto Networks PAN-OS Remote Code Execution Vulnerability,10-01-2022,Remote Code Execution in PAN-OS with GlobalProtect Portal or GlobalProtect Gateway Interface enabled.,Apply updates per vendor instructions.,10-07-2022,19-07-2019,8.1,CWE-134,NETWORK,HIGH,HIGH,Management and Governance,Network
CVE-2019-10149,exim,Mail Transfer Agent (MTA),Exim Mail Transfer Agent (MTA) Improper Input Validation,10-01-2022,Improper validation of recipient address in deliver_message() function in /src/deliver.c may lead to remote command execution.,Apply updates per vendor instructions.,10-07-2022,05-06-2019,9.8,CWE-78,NETWORK,LOW,CRITICAL,Management and Governance,Other
CVE-2015-7450,ibm,WebSphere Application Server and Server Hypervisor Edition,IBM WebSphere Application Server and Server Hypervisor Edition Code Injection.,10-01-2022,"Serialized-object interfaces in certain IBM analytics, business solutions, cognitive, IT infrastructure, and mobile and social products allow remote attackers to execute arbitrary commands",Apply updates per vendor instructions.,10-07-2022,02-01-2016,9.8,CWE-94,NETWORK,LOW,CRITICAL,IaaS,Other
CVE-2017-1000486,primetek,Primefaces Application,Primetek Primefaces Remote Code Execution Vulnerability,10-01-2022,Primetek Primefaces is vulnerable to a weak encryption flaw resulting in remote code execution,Apply updates per vendor instructions.,10-07-2022,03-01-2018,9.8,CWE-326,NETWORK,LOW,CRITICAL,Management and Governance,Network
CVE-2019-7609,elastic,Kibana,Kibana Arbitrary Code Execution,10-01-2022,Kibana contain an arbitrary code execution flaw in the Timelion visualizer.,Apply updates per vendor instructions.,10-07-2022,25-03-2019,10.0,CWE-94,NETWORK,LOW,CRITICAL,Management and Governance,Application
CVE-2021-27860,fatpipe,"WARP, IPVPN, and MPVPN software","FatPipe WARP, IPVPN, and MPVPN Configuration Upload exploit",10-01-2022,"A vulnerability in the web management interface of FatPipe WARP, IPVPN, and MPVPN software allows a remote, unauthenticated attacker to upload a file to any location on the filesystem.",Apply updates per vendor instructions.,24-01-2022,08-12-2021,8.8,CWE-434,NETWORK,LOW,HIGH,Management and Governance,Application
CVE-2021-32648,october cms,October CMS,October CMS Improper Authentication,18-01-2022,In affected versions of the october/system package an attacker can request an account password reset and then gain access to the account using a specially crafted request.,Apply updates per vendor instructions.,01-02-2022,26-08-2021,9.1,"CWE-640,CWE-287",NETWORK,LOW,CRITICAL,Management and Governance,IAM
CVE-2021-25296,nagios,Nagios XI,Nagios XI OS Command Injection,18-01-2022,Nagios XI contains a vulnerability which can lead to OS command injection on the Nagios XI server.,Apply updates per vendor instructions.,01-02-2022,15-02-2021,8.8,CWE-78,NETWORK,LOW,HIGH,IaaS,Network
CVE-2021-25297,nagios,Nagios XI,Nagios XI OS Command Injection,18-01-2022,Nagios XI contains a vulnerability which can lead to OS command injection on the Nagios XI server.,Apply updates per vendor instructions.,01-02-2022,15-02-2021,8.8,CWE-78,NETWORK,LOW,HIGH,IaaS,Network
CVE-2021-25298,nagios,Nagios XI,Nagios XI OS Command Injection,18-01-2022,Nagios XI contains a vulnerability which can lead to OS command injection on the Nagios XI server.,Apply updates per vendor instructions.,01-02-2022,15-02-2021,8.8,CWE-78,NETWORK,LOW,HIGH,IaaS,Network
CVE-2021-40870,aviatrix,Aviatrix Controller,Aviatrix Controller Unrestricted Upload of File,18-01-2022,"Unrestricted upload of a file with a dangerous type is possible, which allows an unauthenticated user to execute arbitrary code via directory traversal.",Apply updates per vendor instructions.,01-02-2022,13-09-2021,9.8,CWE-434,NETWORK,LOW,CRITICAL,Management and Governance,Other
CVE-2021-33766,microsoft,Exchange Server,Microsoft Exchange Server Information Disclosure,18-01-2022,Microsoft Exchange Server contains an information disclosure vulnerability which can allow an unauthenticated attacker to steal email traffic from target.,Apply updates per vendor instructions.,01-02-2022,14-07-2021,7.5,CWE-287,NETWORK,LOW,HIGH,Management and Governance,Data
CVE-2021-21975,vmware,vRealize Operations Manager API,VMware Server Side Request Forgery in vRealize Operations Manager API,18-01-2022,Server Side Request Forgery (SSRF) in vRealize Operations Manager API prior to 8.4 may allow a malicious actor with network access to the vRealize Operations Manager API to perform a SSRF attack to steal administrative credentials.,Apply updates per vendor instructions.,01-02-2022,31-03-2021,7.5,CWE-918,NETWORK,LOW,HIGH,Management and Governance,Network
CVE-2021-21315,npm package,System Information Library for Node.JS,System Information Library for Node.JS Command Injection,18-01-2022,"In this vulnerability, an attacker can send a malicious payload that will exploit the name parameter. After successful exploitation, attackers can execute remote.",Apply updates per vendor instructions.,01-02-2022,16-02-2021,7.8,CWE-78,LOCAL,LOW,HIGH,IaaS,Network
CVE-2021-22991,f5,BIG-IP Traffic Management Microkernel,F5 BIG-IP Traffic Management Microkernel Buffer Overflow,18-01-2022,"The Traffic Management Microkernel of BIG-IP ASM Risk Engine has a buffer overflow vulnerability, leading to a bypassing of URL-based access controls.",Apply updates per vendor instructions.,01-02-2022,31-03-2021,9.8,CWE-120,NETWORK,LOW,CRITICAL,SaaS,Application
CVE-2020-14864,oracle,Intelligence Enterprise Edition,Oracle Business Intelligence Enterprise Edition Path Transversal,18-01-2022,"Path traversal vulnerability, where an attacker can target the preview FilePath parameter of the getPreviewImage function to get access to arbitrary system file.",Apply updates per vendor instructions.,18-07-2022,21-10-2020,7.5,NVD-CWE-noinfo,NETWORK,LOW,HIGH,Management and Governance,Access Control
CVE-2020-13671,drupal,Drupal core,Drupal core Un-restricted Upload of File,18-01-2022,Improper sanitization in the extension file names is present in Drupal core.,Apply updates per vendor instructions.,18-07-2022,20-11-2020,8.8,CWE-434,NETWORK,LOW,HIGH,Management and Governance,Other
CVE-2020-11978,apache,Airflow,Apache Airflow Command Injection,18-01-2022,A remote code/command injection vulnerability was discovered in one of the example DAGs shipped with Airflow.,Apply updates per vendor instructions.,18-07-2022,17-07-2020,8.8,CWE-77,NETWORK,LOW,HIGH,IaaS,Network
CVE-2020-13927,apache,Airflow's Experimental API,Apache Airflow's Experimental API Authentication Bypass,18-01-2022,The previous default setting for Airflow's Experimental API was to allow all API requests without authentication.,Apply updates per vendor instructions.,18-07-2022,10-11-2020,9.8,NVD-CWE-Other,NETWORK,LOW,CRITICAL,Management and Governance,IAM
CVE-2018-8453,microsoft,Win32k,Microsoft Win32k Privilege Escalation Vulnerability,21-01-2022,Microsoft Windows Win32k contains a vulnerability which allows an attacker to escalate privileges.,Apply updates per vendor instructions.,21-07-2022,10-10-2018,7.8,CWE-404,LOCAL,LOW,HIGH,Management and Governance,Access Control
CVE-2021-35247,solarwinds,Serv-U,SolarWinds Serv-U Improper Input Validation Vulnerability,21-01-2022,SolarWinds Serv-U versions 15.2.5 and earlier contain an improper input validation vulnerability which allows attackers to build and send queries without sanitization.,Apply updates per vendor instructions.,04-02-2022,10-01-2022,5.3,CWE-20,NETWORK,LOW,MEDIUM,Management and Governance,Other
CVE-2022-22587,apple,iOS and macOS,Apple Memory Corruption Vulnerability,28-01-2022,Apple IOMobileFrameBuffer contains a memory corruption vulnerability which can allow a malicious application to execute arbitrary code with kernel privileges.,Apply updates per vendor instructions.,11-02-2022,18-03-2022,9.8,CWE-787,NETWORK,LOW,CRITICAL,Management and Governance,Application
CVE-2021-20038,sonicwall,SMA 100 Appliances,SonicWall SMA 100 Appliances Stack-Based Buffer Overflow Vulnerability,28-01-2022,SonicWall SMA 100 devies are vulnerable to an unauthenticated stack-based buffer overflow vulnerability where exploitation can result in code execution.,Apply updates per vendor instructions.,11-02-2022,08-12-2021,9.8,CWE-787,NETWORK,LOW,CRITICAL,SaaS,Application
CVE-2020-5722,grandstream,UCM6200,Grandstream Networks UCM6200 Series SQL Injection Vulnerability,28-01-2022,Grandstream UCM6200 series is vulnerable to an unauthenticated remote SQL injection via crafted HTTP request. Exploitation can allow for code execution as root.,Apply updates per vendor instructions.,28-07-2022,23-03-2020,9.8,CWE-89,NETWORK,LOW,CRITICAL,IaaS,Data
CVE-2020-0787,microsoft,Windows,Microsoft Windows Background Intelligent Transfer Service (BITS) Improper Privilege Management Vulnerability,28-01-2022,Microsoft Windows BITS is vulnerable to to a privilege elevation vulnerability if it improperly handles symbolic links. An actor can exploit this vulnerability to execute arbitrary code with system-level privileges.,Apply updates per vendor instructions.,28-07-2022,12-03-2020,7.8,CWE-269,LOCAL,LOW,HIGH,Management and Governance,Access Control
CVE-2017-5689,intel,"Active Management Technology (AMT), Small Business Technology (SBT), and Standard Manageability","Intel Active Management Technology (AMT), Small Business Technology (SBT), and Standard Manageability Privilege Escalation Vulnerability",28-01-2022,Intel products contain a vulnerability which can allow attackers to perform privilege escalation.,Apply updates per vendor instructions.,28-07-2022,02-05-2017,9.8,NVD-CWE-noinfo,NETWORK,LOW,CRITICAL,Management and Governance,Access Control
CVE-2014-6271,gnu,Bourne-Again Shell (Bash),GNU Bourne-Again Shell (Bash) Arbitrary Code Execution Vulnerability,28-01-2022,"GNU Bash through 4.3 processes trailing strings after function definitions in the values of environment variables, which allows remote attackers to execute code.",Apply updates per vendor instructions.,28-07-2022,24-09-2014,9.8,CWE-78,NETWORK,LOW,CRITICAL,Management and Governance,Application
CVE-2022-21882,microsoft,Win32k,Microsoft Win32k Privilege Escalation Vulnerability,04-02-2022,Microsoft Win32k contains an unspecified vulnerability which allows for privilege escalation.,Apply updates per vendor instructions.,18-02-2022,11-01-2022,7.8,CWE-269,LOCAL,LOW,HIGH,Management and Governance,Access Control
CVE-2021-36934,microsoft,Windows,Microsoft Windows SAM Local Privilege Escalation Vulnerability,10-02-2022,"If a Volume Shadow Copy (VSS) shadow copy of the system drive is available, users can read the SAM file which would allow any user to escalate privileges to SYSTEM level.",Apply updates per vendor instructions.,24-02-2022,22-07-2021,7.8,CWE-269,LOCAL,LOW,HIGH,Management and Governance,Access Control
CVE-2020-0796,microsoft,SMBv3,Microsoft SMBv3 Remote Code Execution Vulnerability,10-02-2022,A remote code execution vulnerability exists in the way that the Microsoft Server Message Block 3.1.1 (SMBv3) protocol handles certain requests. An attacker who successfully exploited the vulnerability could gain the ability to execute code on the target server or client.,Apply updates per vendor instructions.,10-08-2022,12-03-2020,10.0,CWE-119,NETWORK,LOW,CRITICAL,Management and Governance,Network
CVE-2018-1000861,jenkins,Jenkins Stapler Web Framework,Jenkins Stapler Web Framework Deserialization of Untrusted Data Vulnerability,10-02-2022,A code execution vulnerability exists in the Stapler web framework used by Jenkins,Apply updates per vendor instructions.,10-08-2022,10-12-2018,9.8,CWE-502,NETWORK,LOW,CRITICAL,Management and Governance,Data
CVE-2017-9791,apache,Struts 1,Apache Struts 1 Improper Input Validation Vulnerability,10-02-2022,The Struts 1 plugin in Apache Struts might allow remote code execution via a malicious field value passed in a raw message to the ActionMessage.,Apply updates per vendor instructions.,10-08-2022,10-07-2017,9.8,CWE-20,NETWORK,LOW,CRITICAL,Management and Governance,Application
CVE-2017-8464,microsoft,Windows,Microsoft Windows Shell (.lnk) Remote Code Execution Vulnerability,10-02-2022,Windows Shell in multiple versions of Microsoft Windows allows local users or remote attackers to execute arbitrary code via a crafted .LNK file,Apply updates per vendor instructions.,10-08-2022,15-06-2017,8.8,NVD-CWE-noinfo,NETWORK,LOW,HIGH,Management and Governance,Network
CVE-2017-10271,oracle,WebLogic Server,Oracle Corporation WebLogic Server Remote Code Execution Vulnerability,10-02-2022,Oracle Corporation WebLogic Server contains a vulnerability that allows for remote code execution.,Apply updates per vendor instructions.,10-08-2022,19-10-2017,7.5,NVD-CWE-noinfo,NETWORK,LOW,HIGH,Management and Governance,Network
CVE-2017-0263,microsoft,Win32k,Microsoft Win32k Privilege Escalation Vulnerability,10-02-2022,Microsoft Win32k contains a privilege escalation vulnerability due to the Windows kernel-mode driver failing to properly handle objects in memory.,Apply updates per vendor instructions.,10-08-2022,12-05-2017,7.8,CWE-416,LOCAL,LOW,HIGH,Management and Governance,Access Control
CVE-2017-0262,microsoft,Office,Microsoft Office Remote Code Execution Vulnerability,10-02-2022,A remote code execution vulnerability exists in Microsoft Office.,Apply updates per vendor instructions.,10-08-2022,12-05-2017,7.8,NVD-CWE-noinfo,LOCAL,LOW,HIGH,SaaS,Network
CVE-2017-0145,microsoft,SMBv1,Microsoft SMBv1 Remote Code Execution Vulnerability,10-02-2022,The SMBv1 server in multiple Microsoft Windows versions allows remote attackers to execute arbitrary code via crafted packets.,Apply updates per vendor instructions.,10-08-2022,17-03-2017,8.1,CWE-20,NETWORK,HIGH,HIGH,Management and Governance,Network
CVE-2017-0144,microsoft,SMBv1,Microsoft SMBv1 Remote Code Execution Vulnerability,10-02-2022,The SMBv1 server in multiple Microsoft Windows versions allows remote attackers to execute arbitrary code via crafted packets.,Apply updates per vendor instructions.,10-08-2022,17-03-2017,8.1,CWE-20,NETWORK,HIGH,HIGH,Management and Governance,Network
CVE-2016-3088,apache,ActiveMQ,Apache ActiveMQ Improper Input Validation Vulnerability,10-02-2022,The Fileserver web application in Apache ActiveMQ allows remote attackers to upload and execute arbitrary files via an HTTP PUT followed by an HTTP MOVE request,Apply updates per vendor instructions.,10-08-2022,01-06-2016,9.8,CWE-20,NETWORK,LOW,CRITICAL,Management and Governance,Application
CVE-2022-22620,apple,Webkit,Apple Webkit Remote Code Execution Vulnerability,11-02-2022,"Apple Webkit, which impacts iOS, iPadOS, and macOS, contains a vulnerability which allows for remote code execution.",Apply updates per vendor instructions.,25-02-2022,18-03-2022,8.8,CWE-416,NETWORK,LOW,HIGH,Management and Governance,Network
CVE-2022-24086,adobe,Commerce and Magento Open Source,Adobe Commerce and Magento Open Source Improper Input Validation Vulnerability,15-02-2022,Adobe Commerce and Magento Open Source contain an improper input validation vulnerability which can allow for arbitrary code execution.,Apply updates per vendor instructions.,01-03-2022,16-02-2022,9.8,CWE-20,NETWORK,LOW,CRITICAL,Management and Governance,Application
CVE-2022-0609,google,Chrome,Google Chrome Use-After-Free Vulnerability,15-02-2022,The vulnerability exists due to a use-after-free error within the Animation component in Google Chrome.,Apply updates per vendor instructions.,01-03-2022,05-04-2022,8.8,CWE-416,NETWORK,LOW,HIGH,Management and Governance,Application
CVE-2019-0752,microsoft,Internet Explorer,Microsoft Internet Explorer Type Confusion Vulnerability,15-02-2022,A remote code execution vulnerability exists in the way that the scripting engine handles objects in memory in Internet Explorer,Apply updates per vendor instructions.,15-08-2022,09-04-2019,7.5,CWE-843,NETWORK,HIGH,HIGH,Management and Governance,Application
CVE-2018-8174,microsoft,Windows,Microsoft Windows VBScript Engine Out-of-Bounds Write Vulnerability,15-02-2022,"A remote code execution vulnerability exists in the way that the VBScript engine handles objects in memory, aka ""Windows VBScript Engine Remote Code Execution""",Apply updates per vendor instructions.,15-08-2022,09-05-2018,7.5,CWE-787,NETWORK,HIGH,HIGH,Management and Governance,Application
CVE-2018-20250,rarlab,WinRAR,WinRAR Absolute Path Traversal Vulnerability,15-02-2022,WinRAR Absolute Path Traversal vulnerability leads to Remote Code Execution,Apply updates per vendor instructions.,15-08-2022,05-02-2019,7.8,CWE-22,LOCAL,LOW,HIGH,Management and Governance,Network
CVE-2018-15982,adobe,Flash Player,Adobe Flash Player Use-After-Free Vulnerability,15-02-2022,Adobe Flash Player com.adobe.tvsdk.mediacore.metadata Use After Free Vulnerability,The impacted product is end-of-life and should be disconnected if still in use.,15-08-2022,18-01-2019,9.8,CWE-416,NETWORK,LOW,CRITICAL,Management and Governance,Application
CVE-2017-9841,phpunit,PHPUnit,PHPUnit Command Injection Vulnerability,15-02-2022,"PHPUnit allows remote attackers to execute arbitrary PHP code via HTTP POST data beginning with a ""<?php "" substring, as demonstrated by an attack on a site with an exposed /vendor folder, i.e., external access to the /vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php URI.",Apply updates per vendor instructions.,15-08-2022,27-06-2017,9.8,CWE-94,NETWORK,LOW,CRITICAL,IaaS,Network
CVE-2022-23131,zabbix,Frontend,Zabbix Frontend Authentication Bypass Vulnerability,22-02-2022,Unsafe client-side session storage leading to authentication bypass/instance takeover via Zabbix Frontend with configured SAML.,Apply updates per vendor instructions.,08-03-2022,13-01-2022,9.8,CWE-290,NETWORK,LOW,CRITICAL,Management and Governance,IAM
CVE-2022-23134,zabbix,Frontend,Zabbix Frontend Improper Access Control Vulnerability,22-02-2022,Malicious actors can pass step checks and potentially change the configuration of Zabbix Frontend.,Apply updates per vendor instructions.,08-03-2022,13-01-2022,5.3,CWE-863,NETWORK,LOW,MEDIUM,Management and Governance,Configuration
CVE-2022-24682,zimbra,Webmail,Zimbra Webmail Cross-Site Scripting Vulnerability,25-02-2022,Zimbra webmail clients running versions 8.8.15 P29 & P30 contain a XSS vulnerability that would allow attackers to steal session cookie files.,Apply updates per vendor instructions.,11-03-2022,09-02-2022,6.1,CWE-79,NETWORK,LOW,MEDIUM,Management and Governance,Application
CVE-2017-8570,microsoft,Office,Microsoft Office Remote Code Execution Vulnerability,25-02-2022,A remote code execution vulnerability exists in Microsoft Office software when it fails to properly handle objects in memory.,Apply updates per vendor instructions.,25-08-2022,11-07-2017,7.8,NVD-CWE-noinfo,LOCAL,LOW,HIGH,SaaS,Network
CVE-2017-0222,microsoft,Internet Explorer,Microsoft Internet Explorer Remote Code Execution Vulnerability,25-02-2022,A remote code execution vulnerability exists when Internet Explorer improperly accesses objects in memory.,Apply updates per vendor instructions.,25-08-2022,12-05-2017,7.5,CWE-119,NETWORK,HIGH,HIGH,Management and Governance,Network
